,1,3,5
0,lifestyle,"The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By",https://assets.msn.com/labs/mind/AAGH0ET.html
1,news,Walmart Slashes Prices on Last-Generation iPads,https://assets.msn.com/labs/mind/AABmf2I.html
2,health,50 Worst Habits For Belly Fat,https://assets.msn.com/labs/mind/AAB19MK.html
3,health,Dispose of unwanted prescription drugs during the DEA's Take Back Day,https://assets.msn.com/labs/mind/AAISxPN.html
4,news,The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War,https://assets.msn.com/labs/mind/AAJgNsz.html
5,health,I Was An NBA Wife. Here's How It Affected My Mental Health.,https://assets.msn.com/labs/mind/AACk2N6.html
6,health,"How to Get Rid of Skin Tags, According to a Dermatologist",https://assets.msn.com/labs/mind/AAAKEkt.html
7,health,Check Houston traffic map for current road conditions,https://assets.msn.com/labs/mind/AAEKnO1.html
8,sports,Should NFL be able to fine players for criticizing officiating?,https://assets.msn.com/labs/mind/AAJ4lap.html
9,news,"How to record your screen on Windows, macOS, iOS or Android",https://assets.msn.com/labs/mind/AADlomf.html
10,weather,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way",https://assets.msn.com/labs/mind/AAJwoxD.html
11,health,This Guy Altered His Diet and Training to Drop 65 Pounds and Pack on Muscle,https://assets.msn.com/labs/mind/AAGBR44.html
12,news,Chile: Three die in supermarket fire amid protests,https://assets.msn.com/labs/mind/AAJ43pw.html
13,entertainment,Best PS5 games: top PlayStation 5 titles to look forward to,https://assets.msn.com/labs/mind/AACHUn8.html
14,foodanddrink,This Roasted Squash Panzanella Is the Perfect Way to Start This Year's Christmas Dinner,https://assets.msn.com/labs/mind/AAAAPoj.html
15,lifestyle,How to talk about your sex life with your partner,https://assets.msn.com/labs/mind/AAElNsz.html
16,news,"How to report weather-related closings, delays",https://assets.msn.com/labs/mind/AAlErhA.html
17,health,"50 Foods You Should Never Eat, According to Health Experts",https://assets.msn.com/labs/mind/AABDHTv.html
18,sports,"As Eagles take their bye, a look at how the defense has improved lately | Early Birds",https://assets.msn.com/labs/mind/AAJWD4e.html
19,autos,Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly,https://assets.msn.com/labs/mind/AADKhPQ.html
20,autos,My Corvette Moment? When I Took the Mighty ZR1 All the Way to 200 MPH,https://assets.msn.com/labs/mind/AAEvtb9.html
21,health,25 Biggest Grocery Store Mistakes Making You Gain Weight,https://assets.msn.com/labs/mind/AABqkFQ.html
22,sports,"Rye football wins 2019 rendition of The Game, clobbers Harrison",https://assets.msn.com/labs/mind/AAIGv0N.html
23,health,Instagram Filters with Plastic Surgery-Inspired Effects Could Soon Disappear,https://assets.msn.com/labs/mind/AAJaBOM.html
24,health,"Michigan apple recall: Nearly 2,300 crates could be contaminated with listeria",https://assets.msn.com/labs/mind/AAJwfO8.html
25,lifestyle,Kate Middleton's Best Hairstyles Through the Years,https://assets.msn.com/labs/mind/AAEBVOU.html
26,entertainment,Stars who got fired from major projects,https://assets.msn.com/labs/mind/AABv6WU.html
27,travel,Newark Liberty Airport's Terminal One a $2.7 billion 'transformative' project,https://assets.msn.com/labs/mind/AAJfTqo.html
28,autos,Is This The 2021 GMC Yukon Denali?,https://assets.msn.com/labs/mind/AAGZhlc.html
29,autos,"How Hyundai's New, More Fuel-Efficient Engine Tech Called CVVD Works",https://assets.msn.com/labs/mind/AADOeBD.html
30,sports,"John Dorsey admits talks with Washington, but it ""takes two to tango""",https://assets.msn.com/labs/mind/AAISxPW.html
31,news,Elijah Cummings to lie in state at US Capitol Thursday,https://assets.msn.com/labs/mind/AAJgNxm.html
32,sports,"Michigan finally shows some fight, but can't seal the deal",https://assets.msn.com/labs/mind/AAJ4lmA.html
33,travel,"17 Abandoned Theme Parks to Explore for Thrills, Chills, and Nostalgia",https://assets.msn.com/labs/mind/AADlunl.html
34,video,Dog dies protecting Florida children from a deadly snake,https://assets.msn.com/labs/mind/AAI33em.html
